City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,Lazi,48.0667,24.2333,33.42,92,100,2.93,UA,2023-02-04 11:48:02
163,Arlit,18.7369,7.3853,87.06,10,31,7.05,NE,2023-02-04 11:48:27
164,El Estor,15.5333,-89.35,68.29,95,79,2.62,GT,2023-02-04 11:48:28
165,Talavera De La Reina,39.9635,-4.8308,57.22,34,0,1.52,ES,2023-02-04 11:48:29
166,Hami,42.8,93.45,29.35,41,28,1.68,CN,2023-02-04 11:48:31
167,Vila Franca Do Campo,37.7167,-25.4333,61.21,81,100,7.31,PT,2023-02-04 11:48:32
168,Bad Langensalza,51.1,10.65,42.19,76,76,3.67,DE,2023-02-04 11:48:33
169,Cocobeach,1.0002,9.5823,82.9,73,78,9.64,GA,2023-02-04 11:48:34
170,Mahebourg,-20.4081,57.7,84.49,70,40,11.5,MU,2023-02-04 11:48:35
171,Srivardhan,18.0333,73.0167,80.42,49,100,10.25,IN,2023-02-04 11:46:41
172,Gao,16.6362,1.637,86.76,8,45,10.54,ML,2023-02-04 11:46:11
173,Ancud,-41.8697,-73.8203,60.94,73,42,0.45,CL,2023-02-04 11:48:40
174,Cervo,43.6702,-7.4101,53.96,68,0,8.97,ES,2023-02-04 11:48:41
175,Kyakhta,50.3508,106.4494,-6.84,99,26,3.0,RU,2023-02-04 11:48:42
176,Nalhati,24.3,87.8167,72.68,24,42,7.47,IN,2023-02-04 11:44:04
177,Tabira,-7.5908,-37.5394,82.87,40,96,10.71,BR,2023-02-04 11:48:44
178,Phangnga,8.4509,98.5298,82.44,79,44,4.45,TH,2023-02-04 11:48:45
179,Monte Gordo,37.1819,-7.4523,59.25,77,0,6.62,PT,2023-02-04 11:48:46
180,Cabo San Lucas,22.8909,-109.9124,63.52,54,56,3.0,MX,2023-02-04 11:48:47
181,Kattivakkam,13.2167,80.3167,84.29,66,0,11.43,IN,2023-02-04 11:46:45
182,Mount Isa,-20.7333,139.5,74.97,41,59,5.75,AU,2023-02-04 11:48:49
183,Burgeo,47.6167,-57.6152,1.42,98,100,39.97,CA,2023-02-04 11:48:50
184,Phan Thiet,10.9333,108.1,75.92,81,65,17.36,VN,2023-02-04 11:46:04
185,Kavieng,-2.5744,150.7967,80.82,78,100,5.1,PG,2023-02-04 11:49:52
186,Strezhevoy,60.7333,77.5889,-0.6,100,18,3.04,RU,2023-02-04 11:49:53
187,Bima,-8.4667,118.7167,75.7,94,100,2.53,ID,2023-02-04 11:44:58
188,San Quintin,30.4833,-115.95,54.57,76,1,3.78,MX,2023-02-04 11:49:55
189,Aksu,41.1231,80.2644,24.93,80,30,5.01,CN,2023-02-04 11:49:56
190,Quatre Cocos,-20.2078,57.7625,84.31,70,90,11.34,MU,2023-02-04 11:49:57
191,Zhicheng,30.2956,111.5047,46.71,51,100,3.62,CN,2023-02-04 11:49:58
192,Monrovia,6.3005,-10.7969,85.77,71,12,9.55,LR,2023-02-04 11:50:00
193,Kumba,4.6363,9.4469,93.79,41,55,3.13,CM,2023-02-04 11:46:20
194,Kidal,18.4411,1.4078,80.08,8,19,5.12,ML,2023-02-04 11:50:02
195,Puerto Ayora,-0.7393,-90.3518,74.55,98,81,3.62,EC,2023-02-04 11:50:03
196,Lebu,-37.6167,-73.65,61.86,79,1,3.76,CL,2023-02-04 11:50:04
197,Jurm,36.8648,70.8342,36.07,84,20,1.68,AF,2023-02-04 11:50:05
198,Berbera,10.4396,45.0143,78.4,59,0,8.84,SO,2023-02-04 11:50:06
199,Nanortalik,60.1432,-45.2371,11.71,65,72,12.75,GL,2023-02-04 11:50:07
200,Padang,-0.9492,100.3543,82.45,84,100,1.25,ID,2023-02-04 11:50:08
201,San Jose De Guanipa,8.8872,-64.1651,73.17,80,100,13.02,VE,2023-02-04 11:50:09
202,Vestmannaeyjar,63.4427,-20.2734,34.79,80,75,29.93,IS,2023-02-04 11:50:10
203,Novyy Urengoy,66.0833,76.6333,2.73,99,87,6.91,RU,2023-02-04 11:50:11
204,Mirabad,30.4362,61.8383,70.77,18,1,5.26,AF,2023-02-04 11:50:15
205,Havoysund,70.9963,24.6622,28.63,72,81,21.14,NO,2023-02-04 11:50:16
206,Kavaratti,10.5669,72.642,82.11,61,2,4.52,IN,2023-02-04 11:50:17
207,Te Anau,-45.4167,167.7167,67.23,82,67,3.44,NZ,2023-02-04 11:50:18
208,Willowmore,-33.2926,23.4895,93.92,17,0,3.33,ZA,2023-02-04 11:50:19
209,San Cristobal,7.7669,-72.225,60.98,66,73,3.04,VE,2023-02-04 11:50:20
210,Camocim,-2.9022,-40.8411,81.82,74,95,13.18,BR,2023-02-04 11:50:22
211,Mahibadhoo,3.7833,72.9667,80.67,69,55,10.54,MV,2023-02-04 11:50:23
212,Tevaitoa,-16.7833,-151.5,80.71,71,99,16.31,PF,2023-02-04 11:50:24
213,Fort Morgan,40.2503,-103.8,29.62,86,0,3.44,US,2023-02-04 11:50:26
214,Wattegama,6.7989,81.4808,78.71,82,84,8.41,LK,2023-02-04 11:50:27
215,Pyapon,16.2833,95.6833,81.03,55,3,10.74,MM,2023-02-04 11:50:28
216,Vanavara,60.34,102.2797,-0.62,99,97,4.65,RU,2023-02-04 11:50:29
217,Haines Junction,60.7522,-137.5108,10.35,79,100,2.3,CA,2023-02-04 11:50:30
218,Broken Hill,-31.95,141.4333,70.21,36,0,11.07,AU,2023-02-04 11:50:32
219,Honiara,-9.4333,159.95,78.87,87,95,3.24,SB,2023-02-04 11:46:31
220,Nelson Bay,-32.7167,152.15,70.0,80,0,3.0,AU,2023-02-04 11:50:34
221,Marakkanam,12.2,79.95,78.46,70,1,14.07,IN,2023-02-04 11:46:45
222,North Bend,43.4065,-124.2243,46.31,93,20,4.61,US,2023-02-04 11:50:36
223,Atar,20.5169,-13.0499,72.54,9,100,16.15,MR,2023-02-04 11:47:50
224,Hithadhoo,-0.6,73.0833,82.17,69,96,18.63,MV,2023-02-04 11:50:38
225,Komsomolskiy,40.4272,71.7189,52.52,62,36,4.61,UZ,2023-02-04 11:50:39
226,Hailar,49.2,119.7,-16.44,100,73,2.8,CN,2023-02-04 11:50:40
227,Bell Ville,-32.6259,-62.6887,68.81,56,0,1.99,AR,2023-02-04 11:50:41
228,San Patricio,28.017,-97.5169,49.86,90,0,5.21,US,2023-02-04 11:50:42
229,Sakakah,29.9697,40.2064,63.97,26,26,18.72,SA,2023-02-04 11:50:43
